Blend,Head,Type,Brand,POS,sw1,sw1_POS,sw2,sw2_POS,sw3,sw3_POS,Source,sw source,Definition,LengthDiffSyll,LengthDiffSeg,sw1_stress,sw2_stress,StressReduction,StressHypothesis,SegReduction,sw1length,sw1percent,sw1deleted,sw2length,sw2percent,sw2deleted,SegHypothesis
scrutineer,2,WR,no,n,scrutiny,n,engineer,n,,,Thurner (OED),,,0,,1,1,0,0,1,8,0.875,1,7,0.571428571,3,0
seafari,2,WR,no,n,sea,n,safari,n,,,Thurner (OWW),,,-2,,0.5,1,0.5,1,0.5,2,1,0,6,0.833333333,1,0
seaquarium,2,WR,no,n,sea,n,aquarium,n,,,Thurner (OED),,,-3,,0.5,1,0.5,1,0.5,2,1,0,8,0.875,1,0
seavacuation,2,WR,no,n,sea,n,evacuation,n,,,Thurner (LWW),,,-4,,0.5,1,0.5,1,0,2,1,0,11,1,0,0
sejole,both,LR,no,v,seduce,v,cajole,v,,,Thurner (FW),,,0,,1,1,0,1,1,5,0.4,3,5,0.6,2,1
selectorate,2,WR,no,n,select,n,electorate,n,,,Thurner (OED),,,-2,,1,1,0,0,0.5,6,1,0,8,0.875,1,0
Senegambia,both,LW,no,n,Senegal,n,Gambia,n,,,Thurner (OED),,,0,,1,1,0,1,0.5,7,0.714285714,2,6,1,0,1
sexational,2,WR,no,adj,sex,n,sensational,adj,,,Thurner (OED),,,-3,,1,1,0,0,0.5,4,1,0,10,0.9,1,0
sexcapade,2,WR,no,n,sex,n,escapade,n,,,Thurner (OED),,,-2,,1,1,0,0,0,4,1,0,7,1,0,0
sexercise,both,WW,no,n,sex,n,exercise,n,,,Thurner (WW),,,-2,,1,1,0,1,0,4,1,0,7,1,0,0
sexetary,2,WR,no,n,sex,n,secretary,n,,,Thurner (WW),,,-3,,1,1,0,0,0.5,4,1,0,9,0.888888889,1,0
sexhibition,2,WW,no,n,sex,n,exhibition,n,,,Thurner (DA),,,-3,,1,1,0,0,0,4,1,0,9,1,0,0
sexlusive,2,WW,no,adj,sex,n,exclusive,adj,,,Thurner (DD),,,-2,,1,1,0,0,0.5,4,1,0,9,0.888888889,1,0
sexophone,2,WR,no,n,sex,n,saxophone,n,,,Thurner (OED),,,-2,,1,1,0,0,0.5,4,1,0,8,0.875,1,0
sexpert,2,WW,no,n,sex,n,expert,n,,,Thurner (DAS),,,-1,,1,1,0,0,0,4,1,0,6,1,0,0
sexplanatory,2,WW,no,adj,sex,n,explanatory,adj,,,Thurner (DA),,,-4,,1,1,0,0,0.5,4,1,0,12,0.916666667,1,0
sexplicit,2,WW,no,adj,sex,n,explicit,adj,,,Thurner (DA),,,-2,,1,1,0,0,0.5,4,1,0,9,0.888888889,1,0
sexploitation,2,WW,no,n,sex,n,exploitation,n,,,Thurner (DD),,,-3,,1,1,0,0,0,4,1,0,11,1,0,0
sexplosion,2,WW,no,n,sex,n,explosion,n,,,Thurner (DD),,,-2,,1,1,0,0,0.5,4,1,0,9,0.888888889,1,0
sexport,2,WW,no,n,sex,n,export,n,,,Thurner (DD),,,-1,,1,1,0,0,0,4,1,0,7,1,0,0
sexpose,2,WW,no,n,sex,n,expose,n,,,Thurner (TM),,,-1,,1,1,0,0,0.5,4,1,0,6,0.833333333,1,0
sextrovert,2,WW,no,n,sex,n,extrovert,n,,,Thurner (TM),,,-2,,1,1,0,0,0,4,1,0,9,1,0,0
shakesperience,2,WW,no,n,Shakespeare,n,experience,n,,,Thurner,,,-2,,0.5,1,0.5,1,0.5,7,1,0,10,0.8,2,0
shamateurism,2,WW,no,n,sham,n,amateurism,n,,,Thurner (DJ),,,-4,,1,1,0,0,0,3,1,0,9,1,0,0
shedonism,2,WR,no,n,she,pn,hedonism,n,,,Thurner (TM),,,-3,,1,1,0,0,0.5,2,1,0,9,0.888888889,1,0
shero,2,WR,no,n,she,pn,hero,n,,,Thurner,,,-1,,1,1,0,0,0.5,2,1,0,4,0.75,1,0
shim,both,LR,no,pn,she,pn,him,pn,,,Thurner,,,0,,1,1,0,1,1,2,0.5,1,3,0.666666667,1,1
shitticism,2,WR,no,n,shit,n,witticism,n,,,Thurner (OED),,,-3,,1,1,0,0,0.5,3,1,0,9,0.888888889,1,0
shoat,both,LR,no,n,sheep,n,goat,n,,,Thurner (BNW),,,0,,1,1,0,1,1,3,0.333333333,2,3,0.666666667,1,1
siabon,both,LR,no,n,siamang,n,gibbon,n,,,Thurner (BAR),,,1,,1,0,1,1,1,6,0.5,3,5,0.6,2,1
siberbia,2,LR,no,n,Siberia,n,suburbia,n,,,Thurner (ID),,,0,,1,1,0,0,1,7,0.714285714,2,7,0.857142857,1,1
silcott,both,LL,no,n,silk,n,cotton,n,,,Thurner (OED),,,,,,,,,,,,,,,,
sinclination,2,WW,no,n,sin,n,inclination,n,,,Thurner,,,-3,,0.5,1,0.5,1,0,3,1,0,10,1,0,0
sinema,2,orth,no,n,sin,n,cinema,n,,,Thurner (DA),,,,,,,,,,,,,,,,
Singlish,2,LR,no,n,Singapore,n,English,n,,,Thurner (SE),,,1,,1,1,0,0,0.5,7,0.428571429,4,6,1,0,1
singspiration,2,WR,no,n,sing,v,inspiration,n,,,Thurner (TGP),,,-3,,0.5,1,0.5,1,0.5,3,1,0,9,0.888888889,1,0
sinsational,2,WR,no,adj,sin,n,sensational,adj,,,Thurner (TM),,,-3,,1,1,0,0,0.5,3,1,0,10,0.9,1,0
skatebordello,2,WW,no,n,skateboard,n,bordello,n,,,Thurner (TM),,,-1,,0.5,1,0.5,1,0,8,1,0,7,1,0,0
skitching,2,WR,no,n,ski,n,hitching,n,,,Thurner,,,-1,,1,1,0,0,1,3,0.666666667,1,5,0.8,1,1
skitcom,both,WW,no,n,skit,n,sitcom,n,,,Thurner (SL),,,-1,,1,1,0,1,0,4,1,0,6,1,0,0
skort,both,LR,no,n,skirt,n,short,n,,,Thurner (ID),,,0,,1,1,0,1,1,4,0.75,1,4,0.75,1,0
skurfing,2,LW,no,n,skid,v,surfing,n,,,Thurner (BNW),,,-1,,1,1,0,0,0.5,4,0.75,1,5,1,0,1
skyjack,2,WR,no,v,sky,n,hijack,v,,,Thurner (WE),,,-1,,1,1,0,0,0.5,3,1,0,5,0.8,1,0
skylon,2,WR,no,n,sky,n,pylon,n,,,Thurner (OED),,,-1,,1,1,0,0,0.5,3,1,0,5,0.8,1,0
slanguage,both,WW,no,n,slang,n,language,n,,,Thurner (SSS),,,-1,,1,1,0,1,0,4,1,0,7,1,0,0
slantindicular,2,WR,no,adj,slant,n,perpendicular,adj,,,Thurner (DWP),,,-4,,1,1,0,0,0.5,5,1,0,12,0.75,3,0
slickery,2,WR,no,n,slick,adj,trickery,n,,,Thurner (BAI),,,-2,,1,1,0,0,0.5,4,1,0,6,0.666666667,2,0
Slimnastics,2,WR,no,n,slim,adj,gymnastics,n,,,Thurner (WES),,,-2,,1,1,0,0,0.5,4,1,0,10,0.9,1,0
slimsy,both,WR,no,adj,slim,adj,flimsy,adj,,,Thurner (WE),,,-1,,1,1,0,1,0.5,4,1,0,6,0.833333333,1,0
slithy,both,embed,no,adj,slimy,adj,lithe,adj,,,Thurner (AA),,,,,,,,,,,,,,,,
sloburb,2,WR,no,n,slob,n,suburb,n,,,Thurner (BAI),,,-1,,1,1,0,0,0.5,4,1,0,5,0.8,1,0
slopperati,2,WR,no,n,sloppy,adj,literati,n,,,Thurner (NW),,,-2,,1,1,0,0,0.5,5,1,0,7,0.714285714,2,0
slumpflation,both,WR,no,n,slump,n,inflation,n,,,Thurner (DJ),,,-2,,0.5,1,0.5,0,0.5,5,1,0,8,0.75,2,0
smaze,both,LR,no,n,smoke,n,haze,n,,,Thurner (TGP),,,0,,1,1,0,1,1,4,0.5,2,3,0.666666667,1,1
smealth,1,WW,no,n,smell,n,health,n,,,Thurner,,,0,,1,1,0,1,0.5,4,1,0,4,0.75,1,0
smelodious,2,WW,no,adj,smell,n,odious,adj,,,Thurner (SEL),,,-2,,1,1,0,0,0,4,1,0,5,1,0,0
smice,both,LW,no,n,smoke,n,ice,n,,,Thurner (ID),,,0,,1,1,0,1,0.5,4,0.5,2,2,1,0,1
smist,both,LW,no,n,smoke,n,mist,n,,,Thurner (FW),,,0,,1,1,0,1,0.5,4,0.5,2,4,1,0,1
smog,both,LR,no,n,smoke,n,fog,n,,,Thurner (DWP),,,0,,1,1,0,1,1,4,0.5,2,3,0.666666667,1,1
smokolotive,both,LR-metath,no,n,smoke,n,locomotive,n,,,Thurner (BL),,,,,,,,,,,,,,,,
smorgasborgy,2,LW,no,n,smorgasbord,n,orgy,n,,,Thurner (DA),,,1,,0.5,1,0.5,1,0.5,11,0.909090909,1,4,1,0,1
smothercate,both,WR,no,v,smother,v,suffocate,v,,,Thurner (WE),,,-1,,1,1,0,1,0.5,5,1,0,7,0.714285714,2,0
smoud,both,LR,no,n,smoke,n,cloud,n,,,Thurner (SOL),,,0,,1,1,0,1,1,4,0.5,2,4,0.5,2,0
smurk,both,LW,no,n,smoke,n,murk,n,,,Thurner (DNW),,,0,,1,1,0,1,0.5,4,0.75,1,3,1,0,1
smust,both,LR,no,n,smoke,n,dust,n,,,Thurner (SEL),,,0,,1,1,0,1,1,4,0.5,2,4,0.75,1,1
snain,both,LR,no,n,snow,n,rain,n,,,Thurner (TGP),,,0,,1,1,0,1,1,3,0.666666667,1,3,0.666666667,1,0
snangle,both,LR,no,v,snarl,v,tangle,v,,,Thurner (BL),,,-1,,1,1,0,1,1,5,0.6,2,6,0.833333333,1,1
snark,both,LR,no,n,snake,n,shark,n,,,Thurner (DWP),,,0,,1,1,0,1,1,4,0.75,1,4,0.75,1,0
sneakret,2,LR,no,n,sneak,v,secret,n,,,Thurner (BL),,,-1,,1,1,0,0,0,4,1,0,6,1,0,0
sneet,both,LR,no,n,snow,n,sleet,n,,,Thurner (TGP),,,0,,1,1,0,1,1,3,0.666666667,1,4,0.75,1,1
snivelization,2,WW,no,n,snivel,v,civilization,n,,,Thurner (OED),,,-3,,0.5,1,0.5,1,0,6,1,0,11,1,0,0
snobject,2,WW,no,n,snob,n,object,n,,,Thurner (BAI),,,-1,,1,1,0,0,0,4,1,0,6,1,0,0
snoblem,2,WR,no,n,snob,n,problem,n,,,Thurner (BAI),,,-1,,1,1,0,0,0.5,4,1,0,7,0.714285714,2,0
snofari,2,WR,no,n,snow,n,safari,n,,,Thurner (OWW),,,-2,,0.5,1,0.5,1,0.5,3,1,0,6,0.833333333,1,0
snoopervise,2,WR,no,v,snoop,v,supervise,v,,,Thurner (HDC),,,-2,,1,1,0,0,0,4,1,0,7,1,0,0
snoud,both,LR,no,n,snow,n,cloud,n,,,Thurner (FW),,,0,,1,1,0,1,1,3,0.666666667,1,4,0.5,2,0
snurfing,2,LR,no,n,snow,n,surfing,n,,,Thurner (BNE),,,-1,,1,1,0,0,0.5,3,0.666666667,1,5,1,0,1
soaperatic,2,WR,no,adj,soap,n,operatic,adj,,,Thurner (SEL),,,-3,,0.5,1,0.5,1,0.5,3,1,0,7,0.857142857,1,0
sojourney,both,WW,no,v,sojourn,v,journey,v,,,Thurner (OED),,,0,,0,1,1,0,0,5,1,0,4,1,0,0
solemcholy,both,WR,no,adj,solemn,adj,melancholy,adj,,,Thurner (DS),,,-2,,1,1,0,1,0.5,5,1,0,9,0.666666667,3,0
soliloquacity,2,LW,no,n,soliloquy,n,loquacity,n,,,Thurner (BAI),,,0,,0.5,1,0.5,1,0.5,9,1,0,9,0.888888889,1,0
soliloquery,both,LW,no,n,soliloquy,n,query,n,,,Thurner (TM),,,2,,1,0,1,1,0,9,1,0,5,1,0,0
soliquid,both,LW,no,n,solid,n,liquid,n,,,Thurner (DST),,,,,,,,,,,,,,,,
solunar,both,LW,no,adj,solar,adj,lunar,adj,,,Thurner (WE),,,,,,,,,,,,,,,,
sorernity,both,LR,no,n,sorority,n,fraternity,n,,,Thurner (DA BL),,,0,,1,1,0,1,1,7,0.714285714,2,9,0.555555556,4,0
soroptimist,2,LW,no,n,sorority,n,optimist,n,,,Thurner (WE),,,1,,1,1,0,0,0.5,7,0.571428571,3,8,1,0,1
soundscape,2,WR,no,n,sound,n,landscape,n,,,Thurner (WES),,,-1,,1,1,0,0,0.5,4,1,0,8,0.75,2,0
Sovietnam,2,WW,no,n,Soviet,adj,Vietnam,n,,,Thurner,,,0,,0.5,1,0.5,1,0,6,1,0,7,1,0,0
Spanglish,both,LR,no,n,Spanish,n,English,n,,,Thurner (WES),,,0,,1,1,0,1,1,6,0.833333333,1,6,0.833333333,1,0
spansule,2,WR,no,n,span,n,capsule,n,,,Thurner (BNW),,,-1,,1,1,0,0,0.5,4,1,0,6,0.666666667,2,0
sparcity,2,WR,no,n,sparse,adj,scarcity,n,,,Thurner (BNW),,,-2,,1,1,0,0,0.5,5,1,0,8,0.75,2,0
specialogue,2,WR,no,n,special,adj,catalog,n,,,Thurner (NW),,,-1,,1,1,0,0,0.5,6,1,0,7,0.571428571,3,0
spendacious,2,WR,no,adj,spend,v,mendacious,adj,,,Thurner (DA),,,-2,,0,1,1,1,0.5,5,1,0,8,0.875,1,0
splanch,both,LR,no,n,split,n,ranch,n,,,Thurner (BNE),,,0,,1,1,0,1,1,5,0.6,2,4,0.75,1,1
splork,both,LR,no,n,split,n,fork,n,,,Thurner,,,0,,1,1,0,1,1,5,0.6,2,4,0.75,1,1
spork,both,LR,no,n,spoon,n,fork,n,,,Thurner (BNE),,,0,,1,1,0,1,1,4,0.5,2,4,0.75,1,1
sprinter,both,LR,no,n,spring,n,winter,n,,,Thurner (MBN),,,-1,,1,1,0,1,1,5,0.8,1,5,0.8,1,0
squadrilla,both,LR,no,n,squadron,n,flotilla,n,,,Thurner (OED),,,-1,,0,1,1,0,1,8,0.875,1,7,0.428571429,4,0
squanderlust,2,WR,no,n,squander,v,wanderlust,n,,,Thurner (OED),,,-1,,1,1,0,0,0,7,1,0,9,1,0,0
squarson,both,LR,no,n,squire,n,parson,n,,,Thurner (MBD),,,-1,,1,1,0,1,1,5,0.8,1,6,0.833333333,1,1
squattage,2,LR,no,n,squatter,n,cottage,n,,,Thurner (DS),,,0,,1,1,0,0,0.5,6,0.833333333,1,5,1,0,1
squishop,both,LR,no,n,squire,n,bishop,n,,,Thurner (YNW),,,-1,,1,1,0,1,1,5,0.6,2,5,0.8,1,1
stabile,both,LR,no,n,stable,adj,mobile,adj,,,Thurner (OED),,,0,,1,1,0,1,1,6,0.833333333,1,5,0.4,3,0
